訂票代碼,客戶證號,訂單狀態,乘車日期,訂票張數,起站,迄站
0060416,T171118125,預訂,2018/1/6,2,5050,1160
0060417,R122265537,預訂,2018/1/5,1,5050,4120
0060418,E200434281,預訂,2018/1/7,3,5050,7160
0060419,Q239422294,預訂,2018/1/6,2,5050,1160
0060420,M206584615,預訂,2018/1/5,1,5050,4120
0060421,Q290230323,預訂,2018/1/7,3,5050,7160
0060422,U254054296,預訂,2018/1/5,1,5050,4120
0060423,J101228743,預訂,2018/1/7,3,5050,7160
0060424,S174298414,預訂,2018/1/6,2,5050,1160
0060425,F206376056,預訂,2018/1/6,2,5050,1160
0060426,O246363531,預訂,2018/1/5,1,5050,4120
0060427,B244787568,預訂,2018/1/7,3,5050,7160
0060428,O209636182,預訂,2018/1/6,2,5050,1160
0060429,L113791725,預訂,2018/1/5,1,5050,4120
0060430,I167045606,預訂,2018/1/5,1,5050,4120
0060431,I119709902,預訂,2018/1/6,2,5050,1160
0060432,R250714967,預訂,2018/1/5,1,5050,4120
0060433,V175305644,預訂,2018/1/5,1,5050,4120
0060434,N268714674,預訂,2018/1/5,1,5050,4120
0060603,P247039917,預訂,2018/1/6,2,5050,1160
0060604,I108593550,預訂,2018/1/7,3,5050,7160
0060605,O183736023,預訂,2018/1/5,1,5050,4120
0060606,P252578136,預訂,2018/1/7,3,5050,7160
0060607,C261267691,預訂,2018/1/6,2,5050,1160
0060608,N221447374,預訂,2018/1/5,1,5050,4120
0060609,Z111621188,預訂,2018/1/6,2,5050,1160
0060610,B284425547,預訂,2018/1/5,1,5050,4120
0060611,Q298600587,預訂,2018/1/6,2,5050,1160
0060612,T211092219,預訂,2018/1/6,2,5050,1160
0060613,R288246821,預訂,2018/1/6,2,5050,1160
0060614,L219667524,預訂,2018/1/6,2,5050,1160
0060615,G297348321,預訂,2018/1/7,3,5050,7160
0060616,G234368896,預訂,2018/1/7,3,5050,7160
0060617,J177282064,預訂,2018/1/7,3,5050,7160
0060618,Z167076299,預訂,2018/1/5,1,5050,4120
0060619,M266017386,預訂,2018/1/6,2,5050,1160
0060620,U261709411,預訂,2018/1/6,2,5050,1160
0060621,S208216991,預訂,2018/1/6,2,5050,1160
0060982,S181931951,預訂,2018/1/7,3,5050,7160
0060983,S202425549,預訂,2018/1/5,1,5050,4120
0060984,S250965198,預訂,2018/1/6,2,5050,1160
0060985,V103347410,預訂,2018/1/7,3,5050,7160
0060986,K245240982,預訂,2018/1/6,2,5050,1160
0060987,H249738758,預訂,2018/1/6,2,5050,1160
0060988,E272140210,預訂,2018/1/5,1,5050,4120
0060989,G160216183,預訂,2018/1/6,2,5050,1160
0060990,I275251147,預訂,2018/1/7,3,5050,7160
0060991,H217500097,預訂,2018/1/7,3,5050,7160
0060992,K203790665,預訂,2018/1/6,2,5050,1160
0060993,N184480804,預訂,2018/1/6,2,5050,1160
0060994,P296068937,預訂,2018/1/7,3,5050,7160
0060995,H252601993,預訂,2018/1/7,3,5050,7160
0060996,L146366581,預訂,2018/1/6,2,5050,1160
0060997,S281223554,預訂,2018/1/5,1,5050,4120
0060998,V105298821,預訂,2018/1/7,3,5050,7160
0060999,R217090011,預訂,2018/1/7,3,5050,7160
0061000,C209293319,預訂,2018/1/5,1,5050,4120
0060131,B218372402,預訂,2018/1/6,2,5050,1160
0060132,V133941024,預訂,2018/1/6,2,5050,1160
0060133,G224440907,預訂,2018/1/5,1,5050,4120
0060134,B198333514,預訂,2018/1/7,3,5050,7160
0060135,O129588292,預訂,2018/1/5,1,5050,4120
0060136,B115281037,預訂,2018/1/5,1,5050,4120
0060137,D224950843,預訂,2018/1/5,1,5050,4120
0060138,R173203018,預訂,2018/1/5,1,5050,4120
0060139,Q144664597,預訂,2018/1/7,3,5050,7160
0060140,K238525836,預訂,2018/1/7,3,5050,7160
0060141,F160493741,預訂,2018/1/5,1,5050,4120
0060142,F252983710,預訂,2018/1/7,3,5050,7160
0060143,S295220061,預訂,2018/1/6,2,5050,1160
0060144,P288327623,預訂,2018/1/7,3,5050,7160
0060145,F238470556,預訂,2018/1/5,1,5050,4120
0060146,H265276511,預訂,2018/1/5,1,5050,4120
0060147,M125531730,預訂,2018/1/5,1,5050,4120
0060148,D145575213,預訂,2018/1/7,3,5050,7160
0060149,J260769558,預訂,2018/1/6,2,5050,1160
0060435,R211809909,預訂,2018/1/5,1,5050,4120
0060623,N292619482,預訂,2018/1/7,3,5050,7160
0060624,B164734561,預訂,2018/1/6,2,5050,1160
0060625,L156214969,預訂,2018/1/5,1,5050,4120
0060626,G158107026,預訂,2018/1/6,2,5050,1160
0060627,J112454624,預訂,2018/1/7,3,5050,7160
0060628,F212590222,預訂,2018/1/5,1,5050,4120
0060629,V268155770,預訂,2018/1/6,2,5050,1160
0060630,K232387118,預訂,2018/1/7,3,5050,7160
0060631,S138667502,預訂,2018/1/6,2,5050,1160
0060632,J193557253,預訂,2018/1/5,1,5050,4120
0060633,Z140393611,預訂,2018/1/6,2,5050,1160
0060634,Q156553901,預訂,2018/1/6,2,5050,1160
0060635,T215673149,預訂,2018/1/6,2,5050,1160
0060636,A108910666,預訂,2018/1/7,3,5050,7160
0060637,O273272676,預訂,2018/1/6,2,5050,1160
0060638,L231016914,預訂,2018/1/6,2,5050,1160
0060639,E217313813,預訂,2018/1/6,2,5050,1160
0060640,T197889049,預訂,2018/1/5,1,5050,4120
0060622,H182463838,預訂,2018/1/6,2,5050,1160
0060698,B109960732,預訂,2018/1/5,1,5050,4120
0060699,M278272440,預訂,2018/1/6,2,5050,1160
0060700,O180493987,預訂,2018/1/6,2,5050,1160
0060701,R257301735,預訂,2018/1/6,2,5050,1160
0060702,Z104013112,預訂,2018/1/7,3,5050,7160
0060703,D228823114,預訂,2018/1/5,1,5050,4120
0060704,C196681992,預訂,2018/1/5,1,5050,4120
0060705,C172794885,預訂,2018/1/6,2,5050,1160
0060706,Z130826747,預訂,2018/1/5,1,5050,4120
0060707,I158969531,預訂,2018/1/7,3,5050,7160
0060708,M285037791,預訂,2018/1/6,2,5050,1160
0060709,A120963385,預訂,2018/1/7,3,5050,7160
0060710,C184758031,預訂,2018/1/5,1,5050,4120
0060711,O103123924,預訂,2018/1/6,2,5050,1160
0060712,L203562090,預訂,2018/1/5,1,5050,4120
0060713,J146630076,預訂,2018/1/7,3,5050,7160
0060714,B255396760,預訂,2018/1/5,1,5050,4120
0060715,U267721288,預訂,2018/1/6,2,5050,1160
0061001,E230319322,預訂,2018/1/7,3,5050,7160
0061002,H196292418,預訂,2018/1/6,2,5050,1160
0061003,Z290459004,預訂,2018/1/5,1,5050,4120
0061004,C265071879,預訂,2018/1/5,1,5050,4120
0061005,U134492707,預訂,2018/1/5,1,5050,4120
0061006,B228916532,預訂,2018/1/5,1,5050,4120
0061007,H205410033,預訂,2018/1/5,1,5050,4120
0061008,U239812363,預訂,2018/1/5,1,5050,4120
0061009,V119031647,預訂,2018/1/6,2,5050,1160
0061010,S185232842,預訂,2018/1/7,3,5050,7160
0061011,O120040308,預訂,2018/1/7,3,5050,7160
0061012,H285166963,預訂,2018/1/5,1,5050,4120
0061013,C201927550,預訂,2018/1/7,3,5050,7160
0061014,V268708280,預訂,2018/1/7,3,5050,7160
0061015,N235398419,預訂,2018/1/7,3,5050,7160
0061016,I271522529,預訂,2018/1/7,3,5050,7160
0061017,L299217500,預訂,2018/1/6,2,5050,1160
0061018,I188151949,預訂,2018/1/6,2,5050,1160
0061019,L287413805,預訂,2018/1/7,3,5050,7160
0060150,M191421467,預訂,2018/1/5,1,5050,4120
0060151,V273408064,預訂,2018/1/7,3,5050,7160
0060152,Q217231511,預訂,2018/1/7,3,5050,7160
0060153,Z259170084,預訂,2018/1/6,2,5050,1160
0060154,U299497720,預訂,2018/1/6,2,5050,1160
0060155,J143810670,預訂,2018/1/5,1,5050,4120
0060156,O168966445,預訂,2018/1/5,1,5050,4120
0060157,E120118286,預訂,2018/1/5,1,5050,4120
0060158,R176666455,預訂,2018/1/5,1,5050,4120
0060159,N286492500,預訂,2018/1/6,2,5050,1160
0060160,S152422050,預訂,2018/1/7,3,5050,7160
0060161,B170609748,預訂,2018/1/6,2,5050,1160
0060162,G295504536,預訂,2018/1/7,3,5050,7160
0060163,N264405218,預訂,2018/1/5,1,5050,4120
0060164,N171283328,預訂,2018/1/5,1,5050,4120
0060165,Z215355865,預訂,2018/1/6,2,5050,1160
0060166,M243378555,預訂,2018/1/7,3,5050,7160
0060167,J290368738,預訂,2018/1/5,1,5050,4120
0060168,P183813033,預訂,2018/1/5,1,5050,4120
0060641,D135810134,預訂,2018/1/5,1,5050,4120
0060642,E209317754,預訂,2018/1/6,2,5050,1160
0060643,C194937624,預訂,2018/1/5,1,5050,4120
0060644,L220395931,預訂,2018/1/6,2,5050,1160
0060645,R150480624,預訂,2018/1/6,2,5050,1160
0060646,U284482306,預訂,2018/1/6,2,5050,1160
0060647,O267763826,預訂,2018/1/7,3,5050,7160
0060648,U201216726,預訂,2018/1/6,2,5050,1160
0060649,Q139970953,預訂,2018/1/6,2,5050,1160
0060650,R161468027,預訂,2018/1/6,2,5050,1160
0060651,J216198030,預訂,2018/1/6,2,5050,1160
0060652,D183070502,預訂,2018/1/5,1,5050,4120
0060653,M164107536,預訂,2018/1/6,2,5050,1160
0060654,E280989641,預訂,2018/1/5,1,5050,4120
0060655,N123948998,預訂,2018/1/5,1,5050,4120
0060656,B274898154,預訂,2018/1/7,3,5050,7160
0060657,N286824539,預訂,2018/1/6,2,5050,1160
0060658,O121857129,預訂,2018/1/7,3,5050,7160
0060659,I195695689,預訂,2018/1/7,3,5050,7160
0060716,Q181226506,預訂,2018/1/6,2,5050,1160
0060717,K224503135,預訂,2018/1/5,1,5050,4120
0060718,S158192471,預訂,2018/1/5,1,5050,4120
0060719,N184628788,預訂,2018/1/5,1,5050,4120
0060720,T252661649,預訂,2018/1/6,2,5050,1160
0060721,S105602359,預訂,2018/1/7,3,5050,7160
0060722,E130404968,預訂,2018/1/7,3,5050,7160
0060723,V228727514,預訂,2018/1/7,3,5050,7160
0060724,I196628619,預訂,2018/1/7,3,5050,7160
0060725,K136930944,預訂,2018/1/7,3,5050,7160
0060726,T243348062,預訂,2018/1/7,3,5050,7160
0060727,B131120057,預訂,2018/1/7,3,5050,7160
0060728,U221881229,預訂,2018/1/6,2,5050,1160
0060729,K155570637,預訂,2018/1/5,1,5050,4120
0060730,C294657356,預訂,2018/1/7,3,5050,7160
0060731,N183421132,預訂,2018/1/6,2,5050,1160
0060732,I166262229,預訂,2018/1/6,2,5050,1160
0060733,N103006597,預訂,2018/1/5,1,5050,4120
0060734,E106735276,預訂,2018/1/7,3,5050,7160
0059921,H159935347,預訂,2018/1/6,2,5050,1160
0059922,M261740773,預訂,2018/1/5,1,5050,4120
0059923,C187565369,預訂,2018/1/5,1,5050,4120
0059924,Z170291746,預訂,2018/1/6,2,5050,1160
0059925,N236342617,預訂,2018/1/7,3,5050,7160
0059926,J252527466,預訂,2018/1/6,2,5050,1160
0059927,T287578371,預訂,2018/1/6,2,5050,1160
0059928,Q258628001,預訂,2018/1/7,3,5050,7160
0059929,H283897714,預訂,2018/1/6,2,5050,1160
0059930,V177824099,預訂,2018/1/5,1,5050,4120
0059931,L271561532,預訂,2018/1/6,2,5050,1160
0059932,M100537665,預訂,2018/1/5,1,5050,4120
0059933,A297190249,預訂,2018/1/7,3,5050,7160
0059934,U266377222,預訂,2018/1/6,2,5050,1160
0059935,C242620249,預訂,2018/1/5,1,5050,4120
0059936,D140569322,預訂,2018/1/6,2,5050,1160
0059937,B203829976,預訂,2018/1/7,3,5050,7160
0059938,J277990223,預訂,2018/1/7,3,5050,7160
0059939,P266133538,預訂,2018/1/6,2,5050,1160
0060169,R124429879,預訂,2018/1/6,2,5050,1160
0060170,B169766170,預訂,2018/1/6,2,5050,1160
0060171,N210607248,預訂,2018/1/7,3,5050,7160
0060172,G282022409,預訂,2018/1/6,2,5050,1160
0060173,J135278088,預訂,2018/1/6,2,5050,1160
0060174,L149829076,預訂,2018/1/7,3,5050,7160
0060175,M140952084,預訂,2018/1/6,2,5050,1160
0060176,L203864688,預訂,2018/1/6,2,5050,1160
0060177,B107454964,預訂,2018/1/5,1,5050,4120
0060178,O181002140,預訂,2018/1/5,1,5050,4120
0060179,D154395769,預訂,2018/1/6,2,5050,1160
0060180,S291928968,預訂,2018/1/5,1,5050,4120
0060181,D267417258,預訂,2018/1/5,1,5050,4120
0060182,B138983525,預訂,2018/1/6,2,5050,1160
0060183,U259960619,預訂,2018/1/7,3,5050,7160
0060184,C199490582,預訂,2018/1/5,1,5050,4120
0060185,G228387063,預訂,2018/1/7,3,5050,7160
0060186,J123433337,預訂,2018/1/5,1,5050,4120
0060187,I223386302,預訂,2018/1/5,1,5050,4120
0060660,D128217276,預訂,2018/1/6,2,5050,1160
0060661,H252126940,預訂,2018/1/7,3,5050,7160
0060662,Z243280793,預訂,2018/1/5,1,5050,4120
0060663,I136133135,預訂,2018/1/7,3,5050,7160
0060664,U205925771,預訂,2018/1/6,2,5050,1160
0060665,E283719945,預訂,2018/1/6,2,5050,1160
0060666,U282150285,預訂,2018/1/5,1,5050,4120
0060667,Z249290159,預訂,2018/1/6,2,5050,1160
0060668,G235465018,預訂,2018/1/7,3,5050,7160
0060669,Z258055006,預訂,2018/1/7,3,5050,7160
0060670,D205820982,預訂,2018/1/5,1,5050,4120
0060671,H196949341,預訂,2018/1/5,1,5050,4120
0060672,F198662434,預訂,2018/1/5,1,5050,4120
0060673,Z197826805,預訂,2018/1/5,1,5050,4120
0060674,I283156213,預訂,2018/1/5,1,5050,4120
0060675,O278117625,預訂,2018/1/5,1,5050,4120
0060676,V116153388,預訂,2018/1/7,3,5050,7160
0060677,B116490450,預訂,2018/1/5,1,5050,4120
0060678,Z292786335,預訂,2018/1/7,3,5050,7160
0060735,E180827966,預訂,2018/1/7,3,5050,7160
0060736,Z158892810,預訂,2018/1/6,2,5050,1160
0060737,F183091772,預訂,2018/1/5,1,5050,4120
0060738,Z158686018,預訂,2018/1/5,1,5050,4120
0060739,E151779817,預訂,2018/1/5,1,5050,4120
0060740,C138015667,預訂,2018/1/6,2,5050,1160
0060741,T109616663,預訂,2018/1/5,1,5050,4120
0060742,D261804284,預訂,2018/1/6,2,5050,1160
0060743,U164227763,預訂,2018/1/5,1,5050,4120
0060744,A272272400,預訂,2018/1/6,2,5050,1160
0060745,O246097925,預訂,2018/1/5,1,5050,4120
0060746,J189976624,預訂,2018/1/5,1,5050,4120
0060747,A154701139,預訂,2018/1/6,2,5050,1160
0060748,Z159428841,預訂,2018/1/7,3,5050,7160
0060749,D230202965,預訂,2018/1/6,2,5050,1160
0060750,K208495978,預訂,2018/1/5,1,5050,4120
0060751,Q272857513,預訂,2018/1/5,1,5050,4120
0060752,Q141362907,預訂,2018/1/7,3,5050,7160
0060753,D225386454,預訂,2018/1/6,2,5050,1160
0059940,G243540280,預訂,2018/1/6,2,5050,1160
0059941,S280988449,預訂,2018/1/5,1,5050,4120
